CLUSTER,CPU_FREQ,DDR_FREQ,INST_RETIRED,CPU_CYCLES,STALL_BACKEND,STALL_FRONTEND,L3D_CACHE_REFILL,L3D_CACHE,MEM_ACCESS
0,884000,418000000,17382100.0,17194600.0,6733760.0,4162.19,20863.0,78900.2,422298.0
0,884000,902000000,18528500.0,17224800.0,6074270.0,4153.88,22214.9,83881.8,449735.0
0,884000,1104000000,19052400.0,17226200.0,5760470.0,4254.41,22812.5,86503.7,462742.0
0,884000,1373000000,19638600.0,17227600.0,5409170.0,4313.88,23538.0,88979.6,476825.0
0,884000,1531000000,19992700.0,17238800.0,5207320.0,4287.33,24020.0,90835.8,485877.0
0,884000,1795000000,20056600.0,17229300.0,5159280.0,4415.21,24076.0,90832.8,486881.0
0,884000,2107000000,20488700.0,17251300.0,4921300.0,4381.09,24463.3,93038.2,497968.0
0,884000,2405000000,20617500.0,17233000.0,4825520.0,4435.32,24769.6,93583.5,500967.0
0,884000,2746000000,21179000.0,17242300.0,4497050.0,4402.24,25399.8,95884.4,514302.0
0,960000,418000000,18444000.0,18712600.0,7612890.0,4218.31,22129.1,83614.5,447811.0
0,960000,902000000,19722000.0,18744900.0,6876180.0,4409.2,23690.0,89378.7,479290.0
0,960000,1104000000,20294200.0,18733300.0,6520570.0,4160.05,24301.3,92014.7,492927.0
0,960000,1373000000,20985300.0,18755400.0,6126420.0,4605.27,25175.5,95209.8,510037.0
0,960000,1531000000,21397500.0,18765800.0,5888990.0,4541.83,25681.0,97129.3,520079.0
0,960000,1795000000,21454100.0,18746700.0,5835900.0,4542.68,25752.7,97082.7,521085.0
0,960000,2107000000,21950800.0,18775400.0,5565530.0,4728.11,26205.6,99611.2,533652.0
0,960000,2405000000,22126800.0,18774200.0,5458420.0,4769.68,26573.6,100478.0,538139.0
0,960000,2746000000,22732400.0,18775600.0,5095530.0,4771.99,27283.9,102942.0,552276.0
0,1037000,418000000,19464900.0,20237500.0,8523370.0,4413.13,23395.4,88504.7,473709.0
0,1037000,902000000,20860200.0,20256000.0,7702340.0,4659.93,25039.7,94388.6,506585.0
0,1037000,1104000000,21464500.0,20240600.0,7323200.0,4761.35,25810.4,97467.0,522106.0
0,1037000,1373000000,22257200.0,20271900.0,6877520.0,4914.68,26706.5,100998.0,541007.0
0,1037000,1531000000,22709100.0,20284600.0,6618370.0,4898.05,27277.5,103048.0,551684.0
0,1037000,1795000000,22843200.0,20288400.0,6541700.0,4784.11,27253.5,103351.0,554918.0
0,1037000,2107000000,23347100.0,20299200.0,6248970.0,5146.15,27891.5,105947.0,567969.0
0,1037000,2405000000,23545400.0,20292100.0,6122750.0,4993.44,28284.9,106665.0,572380.0
0,1037000,2746000000,24218200.0,20296900.0,5722630.0,5120.71,29079.5,109762.0,588487.0
0,1133000,418000000,20672100.0,22130500.0,9689690.0,4894.13,24818.4,93865.4,502864.0
0,1133000,902000000,22263100.0,22139000.0,8740440.0,5190.48,26644.9,100749.0,540819.0
0,1133000,1104000000,22971100.0,22169900.0,8345830.0,5127.75,27561.6,104034.0,558295.0
0,1133000,1373000000,23813100.0,22175900.0,7845070.0,5305.15,28570.2,108220.0,578940.0
0,1133000,1531000000,24301000.0,22181500.0,7557220.0,5221.07,29230.1,110393.0,591418.0
0,1133000,1795000000,24429300.0,22190800.0,7489220.0,5399.8,29344.0,110732.0,594437.0
0,1133000,2107000000,25000700.0,22178200.0,7132940.0,5353.93,29912.4,113408.0,608314.0
0,1133000,2405000000,25348400.0,22203800.0,6949470.0,5308.31,30228.4,114598.0,615628.0
0,1133000,2746000000,25999900.0,22185600.0,6539040.0,5573.03,31205.9,117924.0,632314.0
0,1229000,418000000,21819800.0,24032600.0,10901100.0,5148.91,26209.9,98966.1,530400.0
0,1229000,902000000,23610000.0,24058700.0,9850000.0,5431.12,28207.7,107058.0,573901.0
0,1229000,1104000000,24358200.0,24071900.0,9412960.0,5605.85,29222.6,110229.0,591991.0
0,1229000,1373000000,25291300.0,24077300.0,8856850.0,5649.87,30375.7,114995.0,615523.0
0,1229000,1531000000,25891400.0,24092400.0,8510820.0,5915.75,31016.8,117269.0,628693.0
0,1229000,1795000000,26004300.0,24086800.0,8437520.0,5668.27,31215.8,117606.0,631825.0
0,1229000,2107000000,26672100.0,24102100.0,8051150.0,5649.85,31975.8,120717.0,647810.0
0,1229000,2405000000,26984600.0,24075400.0,7836340.0,5700.87,32228.0,121945.0,655343.0
0,1229000,2746000000,27813500.0,24113500.0,7375440.0,6078.77,33353.5,125943.0,675969.0
0,1325000,418000000,22894000.0,25922700.0,12144600.0,5464.19,27509.6,103791.0,556917.0
0,1325000,902000000,24915900.0,25969900.0,10975300.0,5773.8,29699.4,112796.0,605103.0
0,1325000,1104000000,25698200.0,25952800.0,10487600.0,5748.24,30819.9,116261.0,624642.0
