CLUSTER,CPU_FREQ,DDR_FREQ,IPS
0,884000,418000000,893639.6543
0,884000,902000000,950907.6448
0,884000,1104000000,977715.4335
0,884000,1373000000,1007715.6656
0,884000,1531000000,1025219.0872
0,884000,1795000000,1029062.9567
0,884000,2107000000,1049892.5182
0,884000,2405000000,1057614.4606
0,884000,2746000000,1085831.7046
0,960000,418000000,946220.1939
0,960000,902000000,1010041.1312
0,960000,1104000000,1039989.3238
0,960000,1373000000,1074138.0083
0,960000,1531000000,1094629.5921
0,960000,1795000000,1098643.2812
0,960000,2107000000,1122360.5356
0,960000,2405000000,1131431.8586
0,960000,2746000000,1162311.9368
0,1037000,418000000,997410.8116
0,1037000,902000000,1067931.8424
0,1037000,1104000000,1099704.8753
0,1037000,1373000000,1138557.1357
0,1037000,1531000000,1160946.5654
0,1037000,1795000000,1167583.3678
0,1037000,2107000000,1192704.279
0,1037000,2405000000,1203255.4442
0,1037000,2746000000,1237345.2793
0,1133000,418000000,1058335.2974
0,1133000,902000000,1139351.0231
0,1133000,1104000000,1173945.5884
0,1133000,1373000000,1216647.0042
0,1133000,1531000000,1241261.096
0,1133000,1795000000,1247291.5307
0,1133000,2107000000,1277190.8045
0,1133000,2405000000,1293460.4527
0,1133000,2746000000,1327793.1045
0,1229000,418000000,1115839.9091
0,1229000,902000000,1206078.8821
0,1229000,1104000000,1243617.1553
0,1229000,1373000000,1290967.3302
0,1229000,1531000000,1320770.4753
0,1229000,1795000000,1326838.1313
0,1229000,2107000000,1360047.917
0,1229000,2405000000,1377508.7184
0,1229000,2746000000,1417579.0118
0,1325000,418000000,1170192.534
0,1325000,902000000,1271224.2827
0,1325000,1104000000,1312001.5952
0,1325000,1373000000,1364751.7853
0,1325000,1531000000,1396639.5316
0,1325000,1795000000,1403598.5854
0,1325000,2107000000,1441757.1433
0,1325000,2405000000,1461227.572
0,1325000,2746000000,1502924.2643
0,1421000,418000000,1221547.0714
0,1421000,902000000,1331500.6257
0,1421000,1104000000,1376797.3367
0,1421000,1373000000,1434463.183
0,1421000,1531000000,1469678.2932
0,1421000,1795000000,1476976.1783
0,1421000,2107000000,1517619.9407
0,1421000,2405000000,1539526.1302
0,1421000,2746000000,1586538.8291
0,1517000,418000000,1269710.1613
0,1517000,902000000,1389692.6777
0,1517000,1104000000,1439853.9711
0,1517000,1373000000,1502000.7582
0,1517000,1531000000,1541337.0344
0,1517000,1795000000,1549067.834
0,1517000,2107000000,1595046.406
0,1517000,2405000000,1614894.9086
0,1517000,2746000000,1666368.7815
0,1604000,418000000,1314724.9968
0,1604000,902000000,1435498.6709
0,1604000,1104000000,1493863.1229
0,1604000,1373000000,1561384.1978
0,1604000,1531000000,1603409.98
0,1604000,1795000000,1611871.6689
0,1604000,2107000000,1661192.2179
0,1604000,2405000000,1680556.0481
0,1604000,2746000000,1737235.2952
0,1700000,418000000,1358356.3501
0,1700000,902000000,1487095.9919
0,1700000,1104000000,1548294.6978
0,1700000,1373000000,1622440.0187
0,1700000,1531000000,1668272.3334
0,1700000,1795000000,1681354.4878
0,1700000,2107000000,1731378.4227
0,1700000,2405000000,1752740.3712
0,1700000,2746000000,1813484.4088
1,826000,418000000,2608882.4983
1,826000,902000000,2751601.9749
1,826000,1104000000,2795777.7723
1,826000,1373000000,2853907.7446
1,826000,1531000000,2789551.6574
1,826000,1795000000,2885199.0894
1,826000,2107000000,2921436.2751
1,826000,2405000000,2907941.5113
1,826000,2746000000,2968517.9049
1,941000,418000000,2856763.9639
1,941000,902000000,3019416.0844
1,941000,1104000000,3119418.4692
1,941000,1373000000,3186618.3737
1,941000,1531000000,3223135.4403
1,941000,1795000000,3127756.4871
1,941000,2107000000,3274982.9193
1,941000,2405000000,3297641.1954
1,941000,2746000000,3324935.4665
1,1056000,418000000,3141275.891
1,1056000,902000000,3357802.9287
1,1056000,1104000000,3428783.6214
1,1056000,1373000000,3510225.2214
1,1056000,1531000000,3552462.0872
1,1056000,1795000000,3554890.3137
1,1056000,2107000000,3612496.3504
1,1056000,2405000000,3643438.2046
1,1056000,2746000000,3673992.944
1,1172000,418000000,3400635.3468
1,1172000,902000000,3659771.1993
1,1172000,1104000000,3666103.6405
1,1172000,1373000000,3752868.2306
1,1172000,1531000000,3780675.6515
1,1172000,1795000000,3869486.0676
1,1172000,2107000000,3945650.6074
1,1172000,2405000000,3981639.219
1,1172000,2746000000,4007307.4185
1,1287000,418000000,3631077.8578
1,1287000,902000000,3936280.0388
1,1287000,1104000000,3965462.8089
1,1287000,1373000000,4127655.8999
1,1287000,1531000000,4195091.684
1,1287000,1795000000,4127875.4601
1,1287000,2107000000,4268206.3234
1,1287000,2405000000,4311599.4961
1,1287000,2746000000,4336011.6468
1,1402000,418000000,3847800.7177
1,1402000,902000000,4196998.2489
1,1402000,1104000000,4291254.7429
1,1402000,1373000000,4415613.2036
1,1402000,1531000000,4489542.2797
1,1402000,1795000000,4488126.4393
1,1402000,2107000000,4462650.894
1,1402000,2405000000,4538293.4052
1,1402000,2746000000,4630653.2538
1,1517000,418000000,4056386.7273
1,1517000,902000000,4447184.0688
1,1517000,1104000000,4542075.8166
1,1517000,1373000000,4692988.5321
1,1517000,1531000000,4779576.1149
1,1517000,1795000000,4686841.106
1,1517000,2107000000,4874971.6142
1,1517000,2405000000,4914179.7105
1,1517000,2746000000,4960818.5931
1,1652000,418000000,4240321.6582
1,1652000,902000000,4724811.1836
1,1652000,1104000000,4851153.2984
1,1652000,1373000000,5005879.4772
1,1652000,1531000000,5070467.0659
1,1652000,1795000000,5023272.3418
1,1652000,2107000000,5213709.4982
1,1652000,2405000000,5192158.5247
1,1652000,2746000000,5301060.415
1,1767000,418000000,4419947.8583
1,1767000,902000000,4960395.1447
1,1767000,1104000000,5071621.434
1,1767000,1373000000,5263206.4509
1,1767000,1531000000,5372474.8831
1,1767000,1795000000,5352868.6674
1,1767000,2107000000,5419195.4476
1,1767000,2405000000,5542345.0625
1,1767000,2746000000,5529723.491
1,1882000,418000000,4596642.6999
1,1882000,902000000,5178851.4847
1,1882000,1104000000,5322339.9634
1,1882000,1373000000,5511813.6006
1,1882000,1531000000,5629304.7045
1,1882000,1795000000,5602080.1115
1,1882000,2107000000,5763390.4411
1,1882000,2405000000,5824151.1588
1,1882000,2746000000,5863577.6151
1,1988000,418000000,4795682.6292
